site_id,monument_name,location,capacity,historical_importance,vulnerability,damage_severity,recent_deterioration,maintenance_delay_days
SITE_053,Jahaz Mahal,"Mandu, Madhya Pradesh",2500,4,3,3,2,30
SITE_054,Bhoramdeo Temple,"Kabirdham, Chhattisgarh",1200,3,4,3,3,40
SITE_055,Hampi Group of Monuments,"Vijayanagara, Karnataka",8000,5,4,3,2,30
SITE_056,Mysore Palace,"Mysuru, Karnataka",6000,5,2,1,1,10
SITE_057,Gol Gumbaz,"Vijayapura, Karnataka",3500,4,3,2,2,20
SITE_058,Badami Cave Temples,"Bagalkot, Karnataka",2000,4,4,2,2,20
SITE_059,Pattadakal Monuments,"Bagalkot, Karnataka",2500,5,4,2,2,20
SITE_060,Belur Chennakeshava Temple,"Hassan, Karnataka",2500,5,3,2,1,15
SITE_061,Halebidu Hoysaleshwara Temple,"Hassan, Karnataka",2500,5,3,2,1,15
SITE_062,Brihadeeswarar Temple,"Thanjavur, Tamil Nadu",6000,5,3,2,1,15
SITE_063,Shore Temple & Mahabalipuram Monuments,"Mamallapuram, Tamil Nadu",4000,5,4,3,3,25
SITE_064,Meenakshi Amman Temple,"Madurai, Tamil Nadu",8000,5,2,1,1,5
SITE_065,Ramanathaswamy Temple,"Rameswaram, Tamil Nadu",7000,4,3,2,2,15
SITE_066,Airavatesvara Temple,"Darasuram, Tamil Nadu",2000,5,4,2,2,20
SITE_067,Gangaikonda Cholapuram Temple,"Ariyalur, Tamil Nadu",2500,5,3,2,2,20
SITE_068,Padmanabhaswamy Temple,"Thiruvananthapuram, Kerala",4500,4,3,1,1,10
SITE_069,Bekal Fort,"Kasaragod, Kerala",3500,3,3,2,2,20
SITE_070,Mattancherry Palace,"Kochi, Kerala",1500,4,4,2,2,15
SITE_071,Charminar,"Hyderabad, Telangana",3000,4,4,3,3,35
SITE_072,Golconda Fort,"Hyderabad, Telangana",5500,4,3,2,2,25
SITE_073,Ramappa Temple,"Mulugu, Telangana",2000,5,3,2,1,15
SITE_074,Lepakshi Veerabhadra Temple,"Sri Sathya Sai, Andhra Pradesh",2500,4,4,3,2,25
SITE_075,Tirumala Venkateswara Temple,"Tirupati, Andhra Pradesh",12000,5,2,1,1,0
SITE_076,Gandikota Fort,"Kadapa, Andhra Pradesh",3000,3,3,3,3,40
SITE_077,Konark Sun Temple,"Puri, Odisha",4000,5,5,4,3,30
SITE_078,Jagannath Temple,"Puri, Odisha",9000,5,3,2,2,15
SITE_079,Lingaraj Temple,"Bhubaneswar, Odisha",4500,4,3,2,2,20
SITE_080,Udayagiri and Khandagiri Caves,"Bhubaneswar, Odisha",2500,4,4,3,2,25
SITE_081,Victoria Memorial,"Kolkata, West Bengal",6000,4,2,1,1,10
SITE_082,Hazarduari Palace,"Murshidabad, West Bengal",3000,3,3,2,2,20
SITE_083,Bishnupur Terracotta Temples,"Bankura, West Bengal",2000,4,5,3,3,35
SITE_084,Nalanda Mahavihara,"Nalanda, Bihar",3500,5,4,3,2,25
SITE_085,Mahabodhi Temple Complex,"Bodh Gaya, Bihar",5000,5,3,1,1,10
SITE_086,Kamakhya Temple,"Guwahati, Assam",6000,4,3,2,2,15
SITE_087,Rang Ghar,"Sivasagar, Assam",1500,3,4,3,2,30
SITE_088,Rumtek Monastery,"Gangtok, Sikkim",1200,4,3,2,1,15
SITE_089,Unakoti Rock Carvings,"Unakoti, Tripura",1500,4,5,4,3,45
SITE_090,Tawang Monastery,"Tawang, Arunachal Pradesh",1800,4,3,2,1,15
